STATE,NAME,POPESTIMATE2016
1,Alabama,4863525
2,Alaska,741456
4,Arizona,6941072
5,Arkansas,2989918
6,California,39167117
8,Colorado,5539215
9,Connecticut,3578141
10,Delaware,948921
11,District of Columbia,685815
12,Florida,20613477
13,Georgia,10301890
15,Hawaii,1427559
16,Idaho,1682380
17,Illinois,12820527
18,Indiana,6634304
19,Iowa,3131371
20,Kansas,2910844
21,Kentucky,4438182
22,Louisiana,4678135
23,Maine,1331317
24,Maryland,6003323
25,Massachusetts,6823608
26,Michigan,9950571
27,Minnesota,5522744
28,Mississippi,2987938
29,Missouri,6087135
30,Montana,1040859
31,Nebraska,1905616
32,Nevada,2917563
33,New Hampshire,1342307
34,New Jersey,8870827
35,New Mexico,2091630
36,New York,19633428
37,North Carolina,10154788
38,North Dakota,754434
39,Ohio,11634370
40,Oklahoma,3926331
41,Oregon,4089976
42,Pennsylvania,12782275
44,Rhode Island,1056770
45,South Carolina,4957968
46,South Dakota,862996
47,Tennessee,6646010
48,Texas,27914410
49,Utah,3041868
50,Vermont,623657
51,Virginia,8410106
53,Washington,7294771
54,West Virginia,1831023
55,Wisconsin,5772628
56,Wyoming,584215
72,Puerto Rico,3406672
